Date,Close,MA(10C)s,MA(10C)w,%K(141),%D(3),RSI(14C),MACDHist(12269C),MACD(12269C),MACDSig(12269C),AccDist,CCI(20C),ATR(14)
08/30/21,11255.05,11194.044,11171.86,60.105,41.968,58.652,-28.327,46.599,74.927,1.07E+11,22.907,93.364
08/29/21,11180.19,11200.724,11161.983,39.872,33.1,53.87,-40.934,43.757,84.692,1.07E+11,-35.632,93.991
08/26/21,11128.59,11217.868,11168.833,25.925,29.572,50.182,-47.249,47.116,94.365,1.07E+11,-70.445,97.251
08/25/21,11156.63,11237.379,11188.613,33.504,23.662,52.292,-47.765,55.97,103.736,1.07E+11,-41.374,99.693
08/24/21,11141.03,11254.226,11206.358,29.288,15.086,51.233,-48.061,63.603,111.664,1.07E+11,-39.862,101.217
08/23/21,11062.99,11270.11,11229.827,8.195,18.708,45.626,-44.26,74.008,118.269,1.06E+11,-74.81,102.583
08/22/21,11076.55,11283.608,11269.939,7.777,44.096,46.488,-28.738,94.159,122.897,1.07E+11,-56.856,99.2
08/19/21,11201.64,11297.486,11310.109,40.154,74.837,55.469,-7.208,117.128,124.337,1.07E+11,15.291,94.176
08/18/21,11344.94,11298.264,11327.677,84.357,90.008,69.816,9.012,132.005,122.992,1.07E+11,83.393,87.57
08/17/21,11392.83,11280.008,11315.871,100,92.581,75.908,15.15,134.483,119.332,1.07E+11,106.14,87.049
08/16/21,11321.85,11261.601,11292.012,85.668,88.464,72.62,16.355,130.813,114.457,1.07E+11,86.573,84.363
08/15/21,11351.63,11245.118,11278.06,92.077,91.692,76.699,22.275,131.453,109.178,1.07E+11,104.148,85.251
08/12/2021,11323.7,11216.648,11253.518,87.648,94.333,75.5,25.195,127.326,102.131,1.07E+11,103.897,87.287
08/11/2021,11325.1,11185.549,11228.4,95.35,96.023,75.682,29.198,123.05,93.852,1.07E+11,116.812,84.687
08/10/2021,11299.87,11146.412,11195.911,100,96.344,74.664,30.834,115.66,84.825,1.07E+11,125.132,86.858
08/09/2021,11197.97,11108.092,11161.042,92.72,96.284,69.95,31.51,107.115,75.604,1.06E+11,102.444,85.701
08/08/2021,11215.33,11078.082,11139.245,96.313,96.126,72.071,38.147,105.025,66.877,1.06E+11,122.961,88.394
08/05/2021,11209.42,11044.185,11108.127,99.819,97.355,71.801,41.113,99.062,57.948,1.06E+11,133.184,91.837
08/04/2021,11162.38,11002.694,11070.541,92.246,97.415,69.628,41.311,90.612,49.3,1.06E+11,126.247,87.928
08/03/2021,11208.76,10964.263,11034.519,100,97.839,74.914,41.985,83.298,41.312,1.06E+11,168.272,88.397
08/02/2021,11157.02,10916.972,10981.467,100,95.596,72.773,33.35,68.029,34.678,1.06E+11,156.994,88.639
08/01/2021,11066.93,10871.124,10929.486,93.518,86.454,68.414,22.24,52.819,30.579,1.06E+11,113.868,88.527
07/29/21,11012.71,10833.265,10887.001,93.271,78.274,65.311,12.143,41.81,29.666,1.06E+11,82.726,88.62
07/28/21,10933.73,10814.495,10850.962,72.574,68.856,59.995,0.432,32.671,32.238,1.06E+11,29.208,88.391
07/27/21,10916.67,10816.977,10829.735,68.978,64.826,58.726,-10.148,28.572,38.721,1.06E+11,17.961,91.821
07/26/21,10897.87,10822.431,10812.6,65.016,56.244,57.341,-22.999,24.662,47.662,1.05E+11,4.37,95.78
07/25/21,10876.36,10832.747,10800.76,60.483,47.827,55.765,-36.68,21.227,57.907,1.05E+11,-10.766,96.908
07/15/21,10794.51,10848.284,10795.655,43.232,37.956,49.122,-50.587,18.724,69.312,1.06E+11,-66.471,91.942
07/14/21,10778.07,10866.738,10808.787,39.767,31.214,47.656,-57.858,23.591,81.45,1.06E+11,-83.739,91.649
07/13/21,10735.85,10887.346,10828.656,30.869,20.365,43.793,-61.94,31.134,93.074,1.06E+11,-124.978,92.472
07/12/2021,10698.54,10913.399,10860.937,23.006,18.367,40.171,-59.675,44.607,104.283,1.06E+11,-168.325,93.65
07/11/2021,10688.34,10939.252,10904.703,7.219,32.99,39.176,-49.31,64.953,114.263,1.06E+11,-213.785,87.241
07/08/2021,10825.01,10967.089,10955.385,24.875,54.204,49.399,-30.954,91.017,121.971,1.06E+11,-108.536,76.706
07/07/2021,10958.55,10976.556,10982.939,66.877,72.658,64.725,-17.95,109.043,126.994,1.06E+11,46.354,71.556
07/06/2021,10971.21,10970.121,10985.042,70.859,80.33,66.542,-13.085,116.869,129.955,1.06E+11,65.77,71.96
07/05/2021,11001.03,10962.164,10983.398,80.238,86.171,70.896,-8.415,123.869,132.284,1.06E+11,102.6,73.666
07/04/2021,11031.73,10947.979,10973.752,89.894,89.529,75.626,-6.238,127.965,134.204,1.06E+11,138.201,72.602
07/01/2021,10979.05,10923.881,10954.143,88.38,92.898,72.727,-7.733,128.207,135.94,1.06E+11,101.801,71.663
06/30/21,10984.15,10911.288,10941.823,90.313,92.257,73.513,-6.116,132.014,138.13,1.06E+11,114.997,74.21
06/29/21,10996.38,10898.468,10926.244,100,93.488,75.326,-6.613,134.433,141.047,1.06E+11,131.66,74.591
06/28/21,10957.07,10881.968,10905.442,86.458,87.518,73.366,-9.879,134.32,144.2,1.06E+11,108.565,75.587
06/27/21,10966.71,10877.617,10890.996,94.007,83.887,74.718,-11.49,136.225,147.716,1.06E+11,122.703,77.855
06/24/21,10919.68,10870.693,10873.538,82.09,77.521,72.415,-15.783,135.694,151.477,1.06E+11,96.726,78.424
06/23/21,10894.2,10858.358,10862.389,75.564,72.356,71.09,-16.845,137.83,154.676,1.06E+11,86.63,81.493
06/22/21,10891.64,10847.962,10853.982,74.909,65.33,70.96,-15.613,141.147,156.76,1.06E+11,91.846,83.561
06/21/21,10859.18,10832.337,10843.2,66.595,64.109,69.335,-14.66,143.587,158.247,1.06E+11,80.818,85.548
06/20/21,10790.75,10818.404,10835.786,54.488,65.857,65.563,-11.072,147.919,158.991,1.06E+11,52.338,82.361
06/17/21,10853.12,10807.874,10838.899,71.243,71.039,73.182,-0.764,158.263,159.028,1.06E+11,85.148,81.535
06/16/21,10855.95,10792.392,10827.858,71.839,75.948,73.542,5.25,162.814,157.564,1.06E+11,92.51,84.169
06/15/21,10831.38,10772.478,10812.681,70.036,84.988,72.449,10.665,165.966,155.3,1.06E+11,91.097,86.101
06/14/21,10913.56,10749.082,10797.718,85.969,92.229,83.111,18.141,170.076,151.935,1.06E+11,136.185,83.794
06/13/21,10897.47,10712.849,10761.225,98.958,96.906,82.647,17.076,164.482,147.406,1.06E+11,148.754,79.088
06/10/2021,10796.33,10677.869,10721.297,91.759,95.883,79.331,13.53,156.587,143.057,1.06E+11,122.632,76.934
06/09/2021,10790.24,10650.188,10694.726,100,96.838,79.107,15.188,154.531,139.343,1.06E+11,132.494,78.331
06/08/2021,10735.39,10618.319,10663.468,95.891,92.412,77.032,14.89,150.279,135.388,1.06E+11,122.424,80.137
06/07/2021,10719.85,10589.58,10636.957,94.623,93.566,76.416,16.816,148.25,131.434,1.05E+11,130.933,74.412
06/06/2021,10685.45,10549.446,10605.974,86.723,93.615,75.04,17.626,145.087,127.46,1.05E+11,132.853,77.22
06/03/2021,10698.3,10515.287,10575.036,99.353,94.44,76.59,18.832,142.441,123.609,1.05E+11,161.692,78.06
06/02/2021,10656.81,10479.442,10535.243,94.767,92.932,75.044,14.636,135.684,121.047,1.05E+11,168.966,80.017
06/01/2021,10597.42,10451.015,10497.826,89.199,92.658,72.643,9.284,129.311,120.027,1.05E+11,158.851,79.805
05/31/21,10551.23,10433.624,10468.045,94.831,96.258,70.6,4.777,125.343,120.565,1.05E+11,131.688,78.782
05/30/21,10547.67,10418.145,10443.848,93.944,95.767,70.442,1.115,123.157,122.041,1.05E+11,149.178,80.647
05/27/21,10519.52,10395.646,10416.207,100,93.136,69.228,-4.656,118.939,123.596,1.05E+11,146.117,82.794
05/26/21,10471.55,10366.513,10388.387,93.356,74.625,67.089,-10.802,114.691,125.493,1.04E+11,120.626,84.702
05/25/21,10448,10342.193,10364.868,86.053,59.136,66.012,-15.831,112.485,128.316,1.04E+11,111.689,87.941
